ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,D_410_2,D_410_3,D_420_2.0,D_420_3.0,D_420_4.0,D_420_5.0,D_420_6.0,D_420_7.0,D_43111_2.0,D_43111_3.0,D_43111_4.0,D_43111_5.0,D_43111_6.0,D_405_2,D_43521_2.0,D_43521_3.0,D_43521_4.0,D_43521_5.0,D_43521_6.0,D_43521_7.0,D_470.1_1,D_470.2_1,D_470.3_1,D_470.4_1,D_470.5_1,D_470.6_1,D_4701.1_1,D_4701.2_1,D_4701.3_1,D_4701.4_1,D_4701.5_1,D_4701.6_1,D_4701.7_1,D_4701.8_1,D_470.7_1,D_5414_2,D_5414_3,D_5418_2,D_5418_3,D_5418_4,D_5418_5,D_5418_6
2072,C,4,354.41949999999986,437.2984999999997,341.86400000000026,414.69949999999903,450.57749999999976,401.97049999999945,381.1079999999996,382.26249999999914,354.79349999999914,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2080,E,E,258.4214999999997,268.7400000000004,330.3579999999999,385.95899999999926,418.1105000000005,396.8780000000006,333.2410000000006,316.6324999999998,265.24850000000004,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2087,C,4,372.0035000000004,434.964,215.83000000000004,389.5205,632.9639999999997,484.4395000000002,389.0970000000004,410.2800000000003,374.8415000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2103,E,E,224.46250000000026,187.7635000000003,257.51649999999955,268.27750000000043,324.26749999999976,325.8385000000005,279.71250000000055,279.18949999999967,218.07599999999974,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2104,E,E,376.5610000000003,336.4890000000001,375.16699999999975,423.1690000000002,481.6100000000005,459.59650000000056,427.86600000000016,477.322999999999,454.9809999999998,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2105,E,E,403.8709999999997,381.2054999999997,449.65200000000016,480.18799999999914,514.6360000000002,479.6980000000004,436.59749999999946,431.9129999999989,381.21949999999975,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2106,E,E,160.13399999999982,236.6710000000001,216.5584999999995,186.74400000000003,161.15099999999924,157.53750000000102,86.85300000000053,112.47700000000064,165.08200000000082,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2121,E,E,208.9699999999999,193.77399999999963,188.06800000000013,307.83950000000027,285.6495000000004,320.92799999999943,206.72749999999982,211.67849999999996,190.8135000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2135,C,4,230.54099999999943,222.22299999999998,274.5430000000004,331.3894999999988,376.89950000000056,426.5774999999997,364.2864999999993,375.528,294.7680000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2140,E,E,178.2269999999996,190.99850000000038,215.26250000000005,231.8144999999999,209.05749999999995,153.6525000000005,156.70050000000015,155.55800000000016,233.1310000000003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2160,E,E,280.5085,252.61799999999988,279.1015000000003,292.7025000000001,326.2124999999998,308.81949999999983,277.66599999999994,293.2570000000002,289.8809999999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2167,C,4,284.745,305.9099999999999,384.65699999999947,400.54900000000015,499.94,597.1325000000004,583.2995000000002,427.16499999999985,341.7400000000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2192,C,4,612.5459999999998,565.1990000000006,611.5875000000005,612.9059999999994,786.3224999999999,793.6669999999997,701.3660000000001,665.8424999999994,579.6545000000003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2194,E,E,147.02249999999978,137.5214999999997,153.61549999999966,162.39949999999985,188.7315,196.14350000000053,147.1765000000001,166.06449999999955,147.86249999999956,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2231,E,E,316.0505000000004,253.0934999999997,300.4230000000003,332.6805000000001,478.2464999999997,435.64799999999946,320.90750000000025,309.4105000000002,317.29600000000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
